system;q;dm;k;clutch;seed;sdmu;df;mu;numgen;nmp;nfp;runtime;patch;imprint;l;generation;meanaf;varaf;meanam;varam;nsurvf;nsurvm;ram;file
haplodiploid;1;0;0.333333;200;361737425;0.02;1;0.01;20000;2;2;1552661998;1000;offspring;0.1;20000;2.29957;0.0027649;3.84365;0.00424614;90029;90185;0.024088;./core_0/sim_sa_sexbias_15_3_2019_145958_361208969
haplodiploid;1;0;0.333333;200;177534800;0.02;1;0.01;20000;2;2;1552684575;1000;offspring;0.1;20000;2.33138;0.00553325;3.82603;0.00447396;93955;93560;0.0241;./core_0/sim_sa_sexbias_15_3_2019_211615_177251632
haplodiploid;1;0;0.333333;200;194997930;0.02;1;0.01;20000;2;2;1552708206;1000;offspring;0.1;20000;2.30491;0.00780923;3.88737;0.00537534;90489;90700;0.0241;./core_0/sim_sa_sexbias_16_3_2019_035006_194428064
haplodiploid;1;0;0.333333;200;337804010;0.02;1;0.01;20000;2;2;1552661998;1000;offspring;0.1;20000;2.34198;0.0069406;3.90335;0.00274418;94881;95597;0.024108;./core_1/sim_sa_sexbias_15_3_2019_145958_336758475
haplodiploid;1;0;0.333333;200;642506282;0.02;1;0.01;20000;2;2;1552684625;1000;offspring;0.1;20000;2.32737;0.00405027;3.8212;0.00788545;93247;93590;0.024104;./core_1/sim_sa_sexbias_15_3_2019_211705_642167477
diploid;1;0;0.333333;200;773027453;0.02;1;0.01;20000;2;2;1552707081;1000;offspring;0.1;20000;2.28611;0.00464475;3.37647;0.00501124;88068;88346;0.0241;./core_1/sim_sa_sexbias_16_3_2019_033121_772579266
diploid;1;0;0.333333;200;358596749;0.02;1;0.01;20000;2;2;1552661998;1000;offspring;0.1;20000;2.289;0.0042523;3.38313;0.00353476;89006;88858;0.024136;./core_2/sim_sa_sexbias_15_3_2019_145958_358016382
diploid;1;0;0.333333;200;217150908;0.02;1;0.01;20000;2;2;1552686290;1000;offspring;0.1;20000;2.31364;0.00176063;3.38328;0.00402017;91519;91794;0.024104;./core_2/sim_sa_sexbias_15_3_2019_214450_216735294
diploid;1;0;0.333333;200;499241905;0.02;1;0.01;20000;2;2;1552709450;1000;offspring;0.1;20000;2.2779;0.00359071;3.34874;0.00372661;87791;87067;0.024124;./core_2/sim_sa_sexbias_16_3_2019_041050_498842953
diploid;1;0;0.333333;200;337766027;0.02;1;0.01;20000;2;2;1552661998;1000;offspring;0.1;20000;2.30088;0.00300755;3.33572;0.00293362;90502;90396;0.024096;./core_3/sim_sa_sexbias_15_3_2019_145958_336770834
haplodiploid;1;0;0.333333;200;715665951;0.02;1;0.01;20000;2;2;1552685714;1000;madumnal;0.1;20000;2.35915;0.00569057;3.80188;0.00616565;97059;97626;0.024104;./core_3/sim_sa_sexbias_15_3_2019_213514_715291180
haplodiploid;1;0;0.333333;200;207351615;0.02;1;0.01;20000;2;2;1552708646;1000;madumnal;0.1;20000;2.31643;0.00217143;3.88923;0.00362454;92276;92275;0.024104;./core_3/sim_sa_sexbias_16_3_2019_035726_206941654
haplodiploid;1;0;0.333333;200;370517341;0.02;1;0.01;20000;2;2;1552661998;1000;madumnal;0.1;20000;2.31123;0.00374043;3.97203;0.00188236;91384;91345;0.024084;./core_4/sim_sa_sexbias_15_3_2019_145958_370030765
haplodiploid;1;0;0.333333;200;727112228;0.02;1;0.01;20000;2;2;1552685381;1000;madumnal;0.1;20000;2.33216;0.00384506;3.87532;0.00214512;94379;93846;0.024108;./core_4/sim_sa_sexbias_15_3_2019_212941_726698359
haplodiploid;1;0;0.333333;200;130107903;0.02;1;0.01;20000;2;2;1552708736;1000;madumnal;0.1;20000;2.31808;0.0024538;3.86791;0.00255101;92227;92006;0.024112;./core_4/sim_sa_sexbias_16_3_2019_035856_129784928
diploid;1;0;0.333333;200;256507368;0.02;1;0.01;20000;2;2;1552661998;1000;madumnal;0.1;20000;2.29928;0.00260857;3.83611;0.00435081;90282;89984;0.024104;./core_5/sim_sa_sexbias_15_3_2019_145958_255609836
diploid;1;0;0.333333;200;280371591;0.02;1;0.01;20000;2;2;1552686121;1000;madumnal;0.1;20000;2.34358;0.00152821;3.83359;0.00342852;95272;95605;0.02412;./core_5/sim_sa_sexbias_15_3_2019_214201_279923399
diploid;1;0;0.333333;200;601837980;0.02;1;0.01;20000;2;2;1552710085;1000;madumnal;0.1;20000;2.31426;0.00169033;3.84502;0.0019039;91678;91512;0.024124;./core_5/sim_sa_sexbias_16_3_2019_042125_588016078
diploid;1;0;0.333333;200;442032012;0.02;1;0.01;20000;2;2;1552661999;1000;madumnal;0.1;20000;2.32383;0.00169484;3.83876;0.0037425;93233;93024;0.024116;./core_6/sim_sa_sexbias_15_3_2019_145959_441023223
diploid;1;0;0.333333;200;568302130;0.02;1;0.01;20000;2;2;1552684906;1000;madumnal;0.1;20000;2.31493;0.00231272;3.86851;0.00435192;91782;91377;0.024112;./core_6/sim_sa_sexbias_15_3_2019_212146_566878727
haplodiploid;1;0;0.333333;200;335200166;0.02;1;0.01;20000;2;2;1552708284;1000;padumnal;0.1;20000;2.26865;0.00328336;3.86642;0.00653624;86647;86398;0.024088;./core_6/sim_sa_sexbias_16_3_2019_035124_334808557
haplodiploid;1;0;0.333333;200;305262661;0.02;1;0.01;20000;2;2;1552661999;1000;padumnal;0.1;20000;2.36986;0.00652425;3.90953;0.00684451;98442;98175;0.024088;./core_7/sim_sa_sexbias_15_3_2019_145959_304577056
haplodiploid;1;0;0.333333;200;837680785;0.02;1;0.01;20000;2;2;1552685099;1000;padumnal;0.1;20000;2.364;0.00230501;3.88887;0.00283867;97667;97762;0.024116;./core_7/sim_sa_sexbias_15_3_2019_212459_815988696
haplodiploid;1;0;0.333333;200;630920136;0.02;1;0.01;20000;2;2;1552709156;1000;padumnal;0.1;20000;2.30744;0.00619651;3.91745;0.00479009;90829;90949;0.024084;./core_7/sim_sa_sexbias_16_3_2019_040556_620007952
haplodiploid;1;0;0.333333;200;851027192;0.02;1;0.01;20000;2;2;1552661998;1000;padumnal;0.1;20000;2.32038;0.00435063;3.85479;0.00313558;91477;91948;0.024108;./core_8/sim_sa_sexbias_15_3_2019_145958_850145095
diploid;1;0;0.333333;200;945871475;0.02;1;0.01;20000;2;2;1552685082;1000;padumnal;0.1;20000;2.377;0.00314121;2.9002;0.0016885;99350;99601;0.0241;./core_8/sim_sa_sexbias_15_3_2019_212442_931101177
diploid;1;0;0.333333;200;415667446;0.02;1;0.01;20000;2;2;1552708849;1000;padumnal;0.1;20000;2.2938;0.00219702;2.93649;0.00260808;89491;89435;0.024112;./core_8/sim_sa_sexbias_16_3_2019_040049_415300322
diploid;1;0;0.333333;200;59501291;0.02;1;0.01;20000;2;2;1552661999;1000;padumnal;0.1;20000;2.2986;0.00145596;2.91952;0.00289193;89662;89996;0.024108;./core_9/sim_sa_sexbias_15_3_2019_145959_58838277
diploid;1;0;0.333333;200;566091571;0.02;1;0.01;20000;2;2;1552686242;1000;padumnal;0.1;20000;2.3364;0.00200911;2.9022;0.00197504;94506;94170;0.024104;./core_9/sim_sa_sexbias_15_3_2019_214402_565655076
diploid;1;0;0.333333;200;510221212;0.02;1;0.01;20000;2;2;1552710406;1000;padumnal;0.1;20000;2.32705;0.00249383;2.90494;0.0027959;93130;92812;0.024084;./core_9/sim_sa_sexbias_16_3_2019_042646_488600983
haplodiploid;1;0;0.333333;200;625033285;0.02;1;0.01;20000;2;2;1552661999;1000;maternal;0.1;20000;2.38115;0.0094797;5.33804;0.00518813;100005;99408;0.024128;./core_10/sim_sa_sexbias_15_3_2019_145959_624099843
haplodiploid;1;0;0.333333;200;500432575;0.02;1;0.01;20000;2;2;1552686502;1000;maternal;0.1;20000;2.36316;0.0060685;5.29788;0.011378;97353;97942;0.024116;./core_10/sim_sa_sexbias_15_3_2019_214822_499983665
haplodiploid;1;0;0.333333;200;428662899;0.02;1;0.01;20000;2;2;1552710787;1000;maternal;0.1;20000;2.40546;0.00265401;5.49239;0.00493014;103052;103050;0.02412;./core_10/sim_sa_sexbias_16_3_2019_043307_411947694
