mu;dm;l;nmp;df;clutch;k;system;patch;imprint;numgen;seed;q;nfp;runtime;sdmu;generation;meanaf;varaf;meanam;varam;nsurvf;nsurvm;ram;file
0.01;0;0.5;2;1;200;0.333333;haplodiploid;1000;offspring;20000;874843141;1;2;1472654840;0.02;19997.0;2.314994;0.003529632;3.235444;0.001894848;92033.2;91791.6;0.024416;./core_0/sim_sa_sexbias_31_8_2016_154720_859550163
0.01;0;0.5;2;1;200;0.333333;diploid;1000;offspring;20000;600912279;1;2;1472654841;0.02;19997.0;2.28655;0.003153674;2.904038;0.003639298;88562.6;88604.8;0.024404;./core_1/sim_sa_sexbias_31_8_2016_154721_596308503
0.01;0;0.5;2;1;200;0.333333;haplodiploid;1000;madumnal;20000;28562383;1;2;1472654841;0.02;19997.0;2.321892;0.004466152;3.24714;0.001980122;92696.8;92522.0;0.024416;./core_2/sim_sa_sexbias_31_8_2016_154721_16841992
0.01;0;0.5;2;1;200;0.333333;diploid;1000;madumnal;20000;601426490;1;2;1472654841;0.02;19997.0;2.31313;0.002708438;3.18244;0.002196062;91614.0;91613.2;0.024432;./core_3/sim_sa_sexbias_31_8_2016_154721_593864928
0.01;0;0.5;2;1;200;0.333333;haplodiploid;1000;padumnal;20000;28681737;1;2;1472654841;0.02;19997.0;2.296868;0.002320146;3.2161;0.004598526;89598.6;89665.8;0.024436;./core_4/sim_sa_sexbias_31_8_2016_154721_16287916
0.01;0;0.5;2;1;200;0.333333;diploid;1000;padumnal;20000;600983317;1;2;1472654841;0.02;19997.0;2.302624;0.002729476;2.712604;0.002470282;90368.6;90069.8;0.0244;./core_5/sim_sa_sexbias_31_8_2016_154721_594900586
0.01;0;0.5;2;1;200;0.333333;haplodiploid;1000;maternal;20000;28849595;1;2;1472654841;0.02;19997.0;2.354546;0.004208676;4.50832;0.00680835;96829.2;96717.6;0.024408;./core_6/sim_sa_sexbias_31_8_2016_154721_16653095
0.01;0;0.5;2;1;200;0.333333;diploid;1000;maternal;20000;601412682;1;2;1472654841;0.02;19997.0;2.291334;0.004199948;4.424518;0.008710594;89033.6;89071.6;0.02442;./core_7/sim_sa_sexbias_31_8_2016_154721_595467573
0.01;0;0.5;2;1;200;0.333333;haplodiploid;1000;paternal;20000;79355187;1;2;1472654841;0.02;19997.0;2.285876;0.003652214;3.240022;0.002257478;88519.6;88261.8;0.024424;./core_8/sim_sa_sexbias_31_8_2016_154721_58451168
0.01;0;0.5;2;1;200;0.333333;diploid;1000;paternal;20000;601703034;1;2;1472654841;0.02;19997.0;2.28062;0.004998872;2.871298;0.002164978;87497.4;87635.2;0.024412;./core_9/sim_sa_sexbias_31_8_2016_154721_578048096
0.01;0.05;0.5;2;0.95;200;0.333333;haplodiploid;1000;offspring;20000;428484992;1;2;1472654841;0.02;19997.0;2.413778;0.002676522;3.103164;0.00278779;104121.6;104264.2;0.026856;./core_10/sim_sa_sexbias_31_8_2016_154721_412264512
0.01;0.05;0.5;2;0.95;200;0.333333;diploid;1000;offspring;20000;601796720;1;2;1472654841;0.02;19997.0;2.398432;0.003859614;2.882958;0.003645704;102147.2;102233.2;0.026872;./core_11/sim_sa_sexbias_31_8_2016_154721_597075400
0.01;0.05;0.5;2;0.95;200;0.333333;haplodiploid;1000;madumnal;20000;985603510;1;2;1472654841;0.02;19997.0;2.362062;0.004029738;3.200752;0.003482486;97472.0;97590.0;0.026856;./core_12/sim_sa_sexbias_31_8_2016_154721_985228137
0.01;0.05;0.5;2;0.95;200;0.333333;diploid;1000;madumnal;20000;601649515;1;2;1472654841;0.02;19997.0;2.345324;0.00345431;3.109512;0.001281082;95387.0;95588.2;0.026868;./core_13/sim_sa_sexbias_31_8_2016_154721_595015117
0.01;0.05;0.5;2;0.95;200;0.333333;haplodiploid;1000;padumnal;20000;19118505;1;2;1472654842;0.02;19997.0;2.379128;0.005188126;3.162796;0.004545716;99271.8;99424.8;0.026868;./core_14/sim_sa_sexbias_31_8_2016_154722_18742472
0.01;0.05;0.5;2;0.95;200;0.333333;diploid;1000;padumnal;20000;601631659;1;2;1472654841;0.02;19997.0;2.372376;0.00232969;2.688364;0.001915492;98648.2;98649.8;0.026868;./core_15/sim_sa_sexbias_31_8_2016_154721_592849639
0.01;0.05;0.5;2;0.95;200;0.333333;haplodiploid;1000;maternal;20000;129338483;1;2;1472654842;0.02;19997.0;2.424972;0.005289496;4.11632;0.00844963;105622.0;105756.4;0.026872;./core_16/sim_sa_sexbias_31_8_2016_154722_114968042
0.01;0.05;0.5;2;0.95;200;0.333333;diploid;1000;maternal;20000;601402936;1;2;1472654841;0.02;19997.0;2.440342;0.006551234;4.10612;0.009446024;107785.2;107551.4;0.026868;./core_17/sim_sa_sexbias_31_8_2016_154721_589694288
0.01;0.05;0.5;2;0.95;200;0.333333;haplodiploid;1000;paternal;20000;339418687;1;2;1472654842;0.02;19997.0;2.430158;0.003066788;3.104668;0.003422054;106152.2;106274.0;0.026868;./core_18/sim_sa_sexbias_31_8_2016_154722_330501034
0.01;0.05;0.5;2;0.95;200;0.333333;diploid;1000;paternal;20000;601736799;1;2;1472654841;0.02;19997.0;2.401114;0.004345316;2.817866;0.004275552;101914.2;102565.8;0.02688;./core_19/sim_sa_sexbias_31_8_2016_154721_595190801
0.01;0.1;0.5;2;0.9;200;0.333333;haplodiploid;1000;offspring;20000;382995161;1;2;1472654842;0.02;19997.0;2.467764;0.0038042;3.04223;0.00287681;111352.4;111306.6;0.029636;./core_20/sim_sa_sexbias_31_8_2016_154722_372600027
0.01;0.1;0.5;2;0.9;200;0.333333;diploid;1000;offspring;20000;601155546;1;2;1472654841;0.02;19997.0;2.436706;0.002938438;2.800886;0.001277346;107272.8;107267.8;0.029648;./core_21/sim_sa_sexbias_31_8_2016_154721_595948053
